,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
40,41,,B2O3,7,,,,,1,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '7'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
41,42,,B2O3,4.9,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '4.9'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,Thin film,,,,,,,,,,,,
42,43,,B1P1,2,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'Red'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,Red,,,,,,,
43,44,,B1P1,2,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
44,45,,B1P1,2,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
45,46,,B1P1,5.9,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '5.9'}], 'units': 'eV', 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,,,,,,,,,,,,,,,
46,47,,B1P1,4.5,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '4.5'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
47,48,,B1As1,1.46,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Phase', 'scalars': [{'value': 'Cubic'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.46'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'Dark Brown'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,Dark Brown,,,,Cubic,,,
48,49,,B1As1,1.6,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '1.6'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}], 'method': {'name': 'SCOPW'}, 'dataType': 'COMPUTATIONAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}]",SCOPW,,,,,,,,,,,,,
49,50,,B1As1,3.56,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '3.56'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}], 'method': {'name': 'SCOPW'}, 'dataType': 'COMPUTATIONAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}]",SCOPW,,,,,,,,,,,,,
50,51,,B2Se3,,,,,,2,,,,,,"[{'name': 'Color', 'scalars': [{'value': 'Orange'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,,,,,,,,,Orange,,,,,,,
51,52,,B1Sb1,2.6,,,,,1,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2.6'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
52,53,,C,5.47,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.47'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.000054'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Thermoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",Absorption,,-0.000054,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",Absorption,,TRUE,TRUE,TRUE,,,,
53,54,,C,7.02,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.02'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-6.30E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Electroluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Thermoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",Reflection,,-6.30E-04,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",Reflection,,TRUE,TRUE,TRUE,,,,
54,55,,C,5.413,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.413'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
55,56,,C,5.493,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.493'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
56,57,,C,5.503,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.503'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,,,,
57,58,,C,5.542,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Phase', 'scalars': [{'value': 'Natural diamond'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.542'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,Natural diamond,,,
58,59,,C,5.41,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '5.41'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '100'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '100'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '100'}], 'units': 'K'}]",Absorption,,,,,,,,TRUE,,,,,
59,60,,C,6,,,,,2,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '6'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G25 to G15'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G25 to G15'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}]",,,,,,,,,,,,,,
60,61,,C1Br4,3.7,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.7'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
61,62,,C1I4,2.26,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.26'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
62,63,,NaN,,,,,,2,,,,,,"[{'name': 'Thermoluminescence', 'scalars': [{'value': 'True'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,,,,,,,,,,,,TRUE,,,,
63,64,,Na1F1,10.5,,,,,1,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '10.5'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
64,65,,Na2S1,2.4,,,,,1,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2.4'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Estimated,,,,,,,,,,,,,
65,66,,Na1Cl1,8.97,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.97'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
66,67,,Na1Cl1,8.5,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.5'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
67,68,,Na1Cl1,8.6,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.6'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
68,69,,Na1Cl1,8.97,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.97'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
69,70,,Na1Cl1,8.4,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.4'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
70,71,,Na1Cl1,8.6,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '8.6'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
71,72,,Na2Se1,2,,,,,1,,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '2'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Estimated,,,,,,,,,,,,,
72,73,,Na1Br1,7.5,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.5'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
73,74,,Na1Br1,7.26,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.26'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
74,75,,Na1Br1,7.025,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.025'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
75,76,,Na1Br1,7.7,,1 7.7,,80,2,76,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.7'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
76,77,,Na3Sb1,1.1,,1 1.1,,300,1,77,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.1'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
77,78,,Na3Sb1,1.1,,1 1.1,,300,2,78,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.1'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,TRUE,,,,,
78,79,,Na3Sb1,1.1,,1 1.1,,300,2,79,,,,,"[{'name': 'Phase', 'scalars': [{'value': 'Hexagonal'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.1'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,,,Hexagonal,,,
79,80,,Na3Sb1,1.17,,1,1.17,250,2,80,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.17'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '250'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '250'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
80,81,,Na3Sb1,1,,1,1,3oo.U,2,81,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,Thin film,,,,,,,,,,,,
